       psi        ni[m^-3]        ne[m^-3]       ti[eV]       te[eV]    we[rad/s]
0.000000E+00   4.500000E+19   5.500000E+19   5.000000E+03   2.500000E+03   1.000000E+00
1.949318E-03   4.499238E+19   5.494814E+19   4.978366E+03   2.498558E+03   1.000000E+00
3.898635E-03   4.498020E+19   5.489307E+19   4.958428E+03   2.496873E+03   1.000000E+00
5.847953E-03   4.496539E+19   5.483676E+19   4.939117E+03   2.495082E+03   1.000000E+00
7.797271E-03   4.494856E+19   5.477965E+19   4.920222E+03   2.493218E+03   1.000000E+00
9.746589E-03   4.493005E+19   5.472194E+19   4.901643E+03   2.491298E+03   1.000000E+00
1.169591E-02   4.491010E+19   5.466377E+19   4.883321E+03   2.489332E+03   1.000000E+00
1.364522E-02   4.488885E+19   5.460521E+19   4.865219E+03   2.487326E+03   1.000000E+00
1.559454E-02   4.486644E+19   5.454634E+19   4.847310E+03   2.485287E+03   1.000000E+00
1.754386E-02   4.484296E+19   5.448719E+19   4.829573E+03   2.483218E+03   1.000000E+00
1.949318E-02   4.481849E+19   5.442781E+19   4.811994E+03   2.481121E+03   1.000000E+00
2.144250E-02   4.479309E+19   5.436821E+19   4.794559E+03   2.478998E+03   1.000000E+00
2.339181E-02   4.476683E+19   5.430843E+19   4.777259E+03   2.476853E+03   1.000000E+00
2.534113E-02   4.473974E+19   5.424849E+19   4.760085E+03   2.474687E+03   1.000000E+00
2.729045E-02   4.471189E+19   5.418840E+19   4.743031E+03   2.472501E+03   1.000000E+00
2.923977E-02   4.468330E+19   5.412818E+19   4.726090E+03   2.470296E+03   1.000000E+00
3.118908E-02   4.465400E+19   5.406783E+19   4.709256E+03   2.468073E+03   1.000000E+00
3.313840E-02   4.462404E+19   5.400738E+19   4.692526E+03   2.465834E+03   1.000000E+00
3.508772E-02   4.459343E+19   5.394683E+19   4.675896E+03   2.463579E+03   1.000000E+00
3.703704E-02   4.456220E+19   5.388618E+19   4.659360E+03   2.461308E+03   1.000000E+00
3.898635E-02   4.453039E+19   5.382546E+19   4.642918E+03   2.459024E+03   1.000000E+00
4.093567E-02   4.449799E+19   5.376466E+19   4.626564E+03   2.456725E+03   1.000000E+00
4.288499E-02   4.446505E+19   5.370379E+19   4.610298E+03   2.454414E+03   1.000000E+00
4.483431E-02   4.443157E+19   5.364286E+19   4.594116E+03   2.452090E+03   1.000000E+00
4.678363E-02   4.439758E+19   5.358188E+19   4.578016E+03   2.449753E+03   1.000000E+00
4.873294E-02   4.436309E+19   5.352084E+19   4.561996E+03   2.447405E+03   1.000000E+00
5.068226E-02   4.432811E+19   5.345976E+19   4.546055E+03   2.445045E+03   1.000000E+00
